2026-01-15 16:15:39.421 | INFO     | 29304:21264 | core.sw_converter:_set_views_to_sheet_scale:129 - 设置视图比例完成
2026-01-15 16:15:39.422 | INFO     | 29304:21264 | core.sw_converter:_replace_template:152 - 开始替换模板
2026-01-15 16:15:39.667 | INFO     | 29304:21264 | core.sw_converter:_replace_template:160 - 模板目录: D:\Github\fastbom\template
2026-01-15 16:15:40.087 | INFO     | 29304:21264 | core.sw_converter:_replace_template:168 - 图纸尺寸: 0.297 x 0.210
2026-01-15 16:15:40.089 | INFO     | 29304:21264 | core.sw_converter:_replace_template:175 - 匹配图纸格式: a4图纸格式.slddrt
2026-01-15 16:15:51.082 | INFO     | 29304:21264 | core.sw_converter:convert_to_dxf:70 - 正在处理: SC06020102.01-04 折弯板.SLDDRW
2026-01-15 16:15:51.098 | INFO     | 29304:21264 | core.sw_converter:convert_to_dxf:71 - 完整路径: D:\Test_Data\SC06020102\SC06020102.01-04 折弯板.SLDDRW
2026-01-15 16:16:13.551 | INFO     | 29304:21264 | core.sw_converter:convert_to_dxf:92 - 连接到文档：SC06020102.01-04 折弯板 - 图纸1
2026-01-15 16:16:18.684 | INFO     | 29304:21264 | core.sw_converter:_set_views_to_sheet_scale:128 - 已设置 4 个视图使用图纸比例
2026-01-15 16:16:18.685 | INFO     | 29304:21264 | core.sw_converter:_set_views_to_sheet_scale:129 - 设置视图比例完成
2026-01-15 16:16:18.687 | INFO     | 29304:21264 | core.sw_converter:_replace_template:152 - 开始替换模板
2026-01-15 16:16:18.914 | INFO     | 29304:21264 | core.sw_converter:_replace_template:160 - 模板目录: D:\Github\fastbom\template
2026-01-15 16:16:19.458 | INFO     | 29304:21264 | core.sw_converter:_replace_template:168 - 图纸尺寸: 0.297 x 0.210
2026-01-15 16:16:19.469 | INFO     | 29304:21264 | core.sw_converter:_replace_template:175 - 匹配图纸格式: a4图纸格式.slddrt
2026-01-15 16:16:36.918 | INFO     | 29304:21264 | core.sw_converter:convert_to_dxf:70 - 正在处理: SC06020102.01-05 折弯板.SLDDRW
2026-01-15 16:16:36.923 | INFO     | 29304:21264 | core.sw_converter:convert_to_dxf:71 - 完整路径: D:\Test_Data\SC06020102\SC06020102.01-05 折弯板.SLDDRW
2026-01-15 16:16:52.086 | INFO     | 29304:21264 | core.sw_converter:convert_to_dxf:92 - 连接到文档：SC06020102.01-05 折弯板 - 图纸1
